Index: 287, yy: 7, fitness[0]: 340
Index: 280, yy: 7, fitness[0]: 310
Index: 288, yy: 7, fitness[0]: 340
Index: 284, yy: 7, fitness[0]: 310
Index: 290, yy: 7, fitness[0]: 310
Index: 295, yy: 7, fitness[0]: 220
Index: 283, yy: 7, fitness[0]: 340
Index: 282, yy: 0, fitness[0]: 240
Index: 289, yy: 0, fitness[0]: 240
Index: 292, yy: 7, fitness[0]: 340
Index: 293, yy: 0, fitness[0]: 240
Index: 281, yy: 7, fitness[0]: 220
Index: 286, yy: 0, fitness[0]: 210
Index: 291, yy: 0, fitness[0]: 210
Index: 285, yy: 7, fitness[0]: 340
Index: 294, yy: 7, fitness[0]: 310
Index: 299, yy: 7, fitness[0]: 310
Index: 297, yy: 7, fitness[0]: 250
Index: 298, yy: 7, fitness[0]: 310
Index: 296, yy: 0, fitness[0]: 240
