Index: 381, yy: 7, fitness[0]: 310
Index: 382, yy: 7, fitness[0]: 340
Index: 395, yy: 7, fitness[0]: 310
Index: 390, yy: 7, fitness[0]: 250
Index: 383, yy: 7, fitness[0]: 310
Index: 384, yy: 7, fitness[0]: 310
Index: 385, yy: 7, fitness[0]: 340
Index: 388, yy: 7, fitness[0]: 310
Index: 391, yy: 7, fitness[0]: 220
Index: 386, yy: 7, fitness[0]: 310
Index: 394, yy: 7, fitness[0]: 250
Index: 380, yy: 7, fitness[0]: 250
Index: 392, yy: 7, fitness[0]: 340
Index: 393, yy: 7, fitness[0]: 220
Index: 389, yy: 7, fitness[0]: 310
Index: 387, yy: 7, fitness[0]: 250
Index: 399, yy: 7, fitness[0]: 340
Index: 396, yy: 7, fitness[0]: 220
Index: 398, yy: 7, fitness[0]: 220
Index: 397, yy: 7, fitness[0]: 310
